"Folio","Timestamp","Score","X14..Usted.ahorra.o.recicla.el.agua.","X14.pt.2...Como.y.porque","X19..Considera.que.en.su.hogar.invierten.mucho.tiempo.a.mas.del.que.a.usted.le.gustaria..en.administrar.el.agua..","X19.CAT","X20..Ha.ayudado.otras.personas.a.obtener.agua.","X21..Le.han.ayudado.otras.personas.a.conseguir.agua.","additional.comments."
393,"3/16/2025 16:38:49 | 1/28/2026 11:32:59",NA,"si","""el agua que lavo se usa para lavar el patio""","poco, le parece bien","a bit","Si, les he pasado agua de la cisterna.","No me han ayudado.",NA
394,"3/16/2025 16:41:43 | 1/28/2026 11:34:18",NA,"si","agua con la que lavan se usa para lavar el patio o el baño. el agua de la lavadora y para bañarse se usa para el w.c. ","es mas tiempo del le gustaria","si","No ","Si, un vecino nos ha pasado agua con una manguera agua de su cisterna.",NA
395,"3/16/2025 16:43:45 | 1/28/2026 11:35:06",NA,"si","el agua de lavar ropa se usa para lavar el patio","poco, le parece bien","a bit","Si, les hemos pasado agua de la que almacenamos.","Si, nos han pasado agua de la que almacenan.",NA
396,"3/16/2025 16:46:39 | 1/28/2026 11:36:22",NA,"si","agua de lavadora se usa para el baño. cuando se vacia cisterna y no cae agua","es mas tiempo del le gustaria","si","Al vecino le hemos pasado agua.","Si, me he ido a banar a otras casas cuando no tenemos. Hemos tenido que comprar agua de garrafon para banarnos.",NA
397,"3/16/2025 16:49:00 | 1/28/2026 11:36:52",NA,"no",NA,"poco, le parece bien","a bit","No ","No ",NA
398,"3/16/2025 16:52:13 | 1/28/2026 11:38:51",NA,"si","agua de lavar ropa se usa para lavar el patio, regar plantas, o para la calle. el agua de lluvia juntan y se usa para lavar la azotea","poco, le parece bien","a bit","No, en la colonia no sufrimos de agua.","No ",NA
399,"3/16/2025 16:54:09 | 1/28/2026 11:42:20",NA,"si","reciclarla-> siempre. lavadora -> plantas, patio, calle. si no reciclan no les alcanza","es mas tiempo del le gustaria","si","Si, han parado bote → vecinos 2 al ano. Lavar ropa en casa es un lio, no en contantes.","Les paran botes los vecinos 1 vez al ano.",NA
400,"3/16/2025 16:57:36 | 1/21/2026 13:52:30",NA,"si","lavadora->lavar el patio. regadera-> en lo que esperan que salga caliente, la salvan para lavar el patio o para las mascotas","poco, le parece bien","a bit","Si, hemos compartido agua de la cisterna. | si, han compartido agua de la cisterna","Mis tios estan en frente y reciben agua, entonces nos pasan agua. | sus hijos viven enfrente y le pasan agua",NA
401,"3/16/2025 17:00:36 | 1/21/2026 13:53:49",NA,"si ahorra, no recicla","cerrar llave cuando no se usa. no reciclan","poco, le parece bien","a bit","No, vecinos ni se hablan.","No ",NA
402,"3/16/2025 17:05:39 | 3/16/2025 17:09:40 | 1/21/2026 13:55:27",NA,"si","lavan->baño. cuando sale sucia la usan para plantas. lo hacen para no utilizar agua limpia","es mas tiempo del le gustaria","si","Han regalado a vecinos botes c/ su agua y 1 vez al ano. No compra en bebedero de escuela.","No lo han requerido urgente.",NA
403,"3/16/2025 17:12:21 | 1/21/2026 13:56:37",NA,"si","lavadora-> baño. es para no desperdiciar","es mas tiempo del le gustaria","si","No ","No ",NA
404,"3/16/2025 17:20:03 | 1/21/2026 13:57:50",NA,"si","lavar ropa->patio. lavar carro->patio->1 cubeta. es para ahorrar agua y jabon","poco, le parece bien","a bit","Si, una temporada falto agua → 20 30 vecinas 1 vez al ano. Se llevan una cubeta. Tia va lavar → a ella le dejan sola. Agua de pipa.","Si, vecinos piden cubeta. Delegado cuando mande pipas.",NA
405,"3/16/2025 17:28:23 | 1/21/2026 13:59:14",NA,"si","lavar ropa->lavar patio. para ahorrar agua","poco, le parece bien","a bit","No ","Hace mucho → 2 o 3 anos atras. Vecinos.",NA
406,"3/16/2025 17:32:50 | 1/21/2026 14:00:18",NA,"si","cuando trapea o lava trastes, el agua sobrante la ocupa para el baño. porque luego no cae","poco, le parece bien","a bit","No ","A veces le dan botes, los vecinos de su terreno (familiares).",NA
407,"3/16/2025 17:39:11 | 1/28/2026 11:24:15",NA,"si","agua de la ropa -> baño o piso. se bañan con cubetas para ahorrar mas agua","""si, es perdida de tiempo""","si","No ","Cuando no hubo → llevaron a lavanderia. 1 vez al ano. Vecina les paso cubetas. Ultima temporada abril.",NA
408,"3/16/2025 17:40:58 | 1/28/2026 11:25:29",NA,"si","agua que sobra se usa para el patio o la calle. siempre lo han hecho para no desperdiciar agua","poco, le parece bien","a bit","Si. Abran la cisterna y con una manguera jalaban el agua para darle asi a mama.","No ",NA
409,"3/16/2025 17:42:34 | 1/28/2026 11:27:59",NA,"no","lavadora -> patio. no juntan de lluvia","depende, a veces purificadoras se tardan un monton","other","N/A","Hace mas de 20 anos.",NA
410,"1/21/2026 13:35:31",NA,"si","agua sobrante de la lavadora se usa para el patio","es mas tiempo del le gustaria","si","si. les deja pasar a la casa para que tomen de la cisterna","si. su vecina le pasaba agua",NA
411,"1/21/2026 13:37:28",NA,"si","lava ropa-> baño, patio. para aprovechar que alo mejor no alcanzaria","es mas tiempo del le gustaria","si","no","no",NA
412,"1/21/2026 13:38:35",NA,"si","lavadora->patio. trata de utilizar poca agua","poco, le parece bien","a bit","no","no",NA
413,"1/21/2026 13:39:54",NA,"si","lavadora->limpiar el patio. mama dice que es para ahorrar por que esta limpia","poco, le parece bien","a bit","no","no",NA
414,"1/21/2026 13:40:34",NA,"no",NA,"poco, le parece bien","a bit","no","no",NA
415,"1/21/2026 13:41:35",NA,"no",NA,"es mas tiempo del le gustaria","si","si, vecinos para botes","si, vecinos para botes",NA
416,"1/21/2026 13:43:10",NA,"si","lava y la usa otra vez para el baño. para ahorrar agua","es mas tiempo del le gustaria","si","pasan agua a vecinos con cubeta o manguera","la pasan agua de las cisternas sus vecinos",NA
417,"1/21/2026 13:44:45",NA,"no",NA,"es mas tiempo del le gustaria","si","cuñadas se bañaron en casa","solo en casa anterior, iba a casa de abuela",NA
418,"1/21/2026 13:45:33",NA,"no",NA,"poco, le parece bien","a bit","no","no",NA
419,"1/21/2026 13:47:55",NA,"si","lavar-> patio. bañarse->escalera. lo hace xq siente que esta ayudando el futuro","poco, le parece bien","a bit","si, vecinos piden 2 o 3 cubetas 2 veces al año.","no",NA
420,"3/17/2025 8:47:10 | 1/21/2026 13:21:14",NA,"si","al lavar un tambo, se usa para el w.c. el agua de lluvia se usa para el w.c. agua de lavadora se usa para lavar el patio o la banqueta","poco, le parece bien","a bit","Si les hemos pasado agua de sus tinacos.","Si nos han pasado agua con cubetas o con el tinaco.","no se que significa ""W.C"" es lo unico que dice"
421,"3/17/2025 8:48:25 | 1/21/2026 13:22:41",NA,"si","lavadora-> baño a veces. no lluvia","poco, le parece bien","a bit","Si cubetas vecinos 2 al ano. Familia permitir bano de por aca","Familia cubetas 2 veces al ano",NA
422,"3/17/2025 9:11:03 | 1/21/2026 13:23:37",NA,"no",NA,"poco, le parece bien","a bit","Si hemos pasado agua en cubetas y se han ido a banar a mi casa.","Si me han pasado agua en garrafones en cubetas.",NA
423,"3/17/2025 9:12:45 | 1/21/2026 13:25:13",NA,"si","bañarse:tina -> baño. no de lluvia. si no reutilizan, no alcanza la agua","es mas tiempo del le gustaria","si","A veces una manzana tiene y otra no. O por todo el ano. Vecina del frente comparten. Pasan botes. Familiares y quien esta cerca usa cubetas."," 2 veces este ano vecina o familiares tinaco les llenan. Si puedes llamar pipas dan preferencia a llenar tinaco o cisterna mas facil.",NA
424,"3/20/2025 14:01:59 | 1/21/2026 13:26:30",NA,"si","lavadora-> baño o lavar el patio","poco, le parece bien","a bit","Si, pasandoles agua.","Si, nos han pasado el agua.",NA
425,"3/20/2025 14:04:45 | 1/21/2026 13:27:47",NA,"si","lluvia-> baño o trapear. se hizo un habito","poco, le parece bien","a bit","Pipa: cooperan.","Pipa compartida.",NA
426,"3/20/2025 14:08:28 | 1/21/2026 13:28:57",NA,"si","agua de lavar ropa-> el baño, lavar el patio, o para las plantas","poco, le parece bien","a bit","Si, le he pasado agua con la manguera.","No",NA
427,"3/20/2025 14:12:11 | 1/21/2026 13:30:15",NA,"si","agua de lluvia-> baño y patio. ropa->patio. si no, no le alcanzaria","es mas tiempo del le gustaria","si","No","Vecinos pasan botes.","19: dice que son todas la mañanas"
428,"3/20/2025 14:17:16 | 1/21/2026 13:31:26",NA,"si","el agua que se usa para lavar la verdura se usa para lavar el pasillo","poco, le parece bien","a bit","Si, a familiares les hemos pasado agua del tinaco, porque esta en la calle el tinaco.","Si, nos han pasado botes de agua, nos prestan un diablito y con eso lo arrastramos.",NA
429,"3/20/2025 14:30:03 | 1/21/2026 13:33:10",NA,"si","lluvia->el baño","poco, le parece bien","a bit","No ","Los vecinos me avisaban cuando llegaban las pipas.",NA
430,"3/20/2025 15:52:05 | 1/21/2026 13:04:03",NA,"si","el agua con la que se bañan la utilizan para el baño","es mas tiempo del le gustaria","si","Si, les he pasado agua a los vecinos. | si, les ha pasado agua a los vecinos","No | no",NA
431,"3/20/2025 15:53:28 | 1/21/2026 13:05:35",NA,"si","agua de lavar-> el baño o para lavar el patio","poco, le parece bien","a bit","Si, les hemos pasado agua de la que almacenamos.","Si, nos han pasado agua de la que almacenan.",NA
432,"3/25/2025 9:28:45 | 1/21/2026 13:10:16",NA,"si","lavar ropa-> baño, patio, y perro. lo hacen para no tirar agua y aprovechar el jabon","poco, le parece bien","a bit","Casa anterior: sí, consiguieron y ayudaron a vecinos. Casa nueva: no.","No en esta casa nueva, ni en la antigua.",NA
433,"3/25/2025 9:32:40 | 1/21/2026 13:11:25",NA,"si","lavadora-> patio o baño, perritos. para no gastar agua limpia y ahorrar dinero","poco, le parece bien","a bit","Si, 1 o 2 veces. Vecinos le pasan botes o tambito. Vecino fue a lavar ropa.","Si, vecinos. A veces sacan o ahora a prio de año.",NA
434,"3/25/2025 9:38:02 | 1/21/2026 13:13:02",NA,"si","ropa-> patio, baño. lluvia->cubetan->al baño. para ahorrar el agua para que no se tire. para ahorrar jabon","es mas tiempo del le gustaria","si","No. Una tia, vive al fondo: tiene pileta grande","Ella les regala cubetas cuando vienen pipas y no llegan.","19: dice que cuando piden pipas, no se pueden salir de la casa"
435,"3/25/2025 9:39:11 | 1/21/2026 13:14:21",NA,"si","lavar->baño y patio. para ahorrar agua","poco, le parece bien","a bit","no","no",NA
436,"3/25/2025 9:51:18 | 1/21/2026 13:15:11",NA,"si","lavadora->baño. para ahorrar agua","es mas tiempo del le gustaria","si","si. vecina su tubo le taparon raro dejo llenar un tambo 7 al ano","ecina y tia le ponen en tambo 2 veces al ano",NA
437,"1/21/2026 13:08:54",NA,"si","cuando sale sucia, la usan para trapear o lavar el baño. agua de lavar ropa-> para trapear y lavar baño. ","es mas tiempo del le gustaria","si","si, ayudaba a cargar el agua de la pipa","solo una vez, vecino les lleno el agua",NA
438,"3/25/2025 10:09:43 | 1/21/2026 13:16:20",NA,"si","llenar cubeta y queda para lavar patio","es mas tiempo del le gustaria","si",". Si. Llevarle cubetas vecinas 3 veces al mes. Hermanos lavan ropa (ellos no tienen con q y no cae agua) 1 al mes.","Si, Hermanos, Papa llenan botes no.",NA
439,"3/25/2025 10:11:01 | 1/21/2026 13:17:38",NA,"si","lavar a mano para desperdiciar menos agua. bañarse->con la cubeta->baño","es mas tiempo del le gustaria","si","No ","No ",NA
440,"3/25/2025 10:14:25 | 1/21/2026 13:18:42",NA,"si","lavar->baño y patio. lluvia->baño o lavar patio","poco, le parece bien","a bit","Familiares lavar o banarse 3 o 4 al ano. Entre vecinos, 1 al ano, pasan para llenar tambo.","Lavar y cubetas vecinos 3 o 4 veces al mes cuando les falto.",NA
441,"1/21/2026 12:41:03",NA,"si","lavar ropa-> baño y patio. solo aveces. lo hacen por que aveces le faltan","es mas tiempo del le gustaria","si","no","ha pedido a familia- bañarse. 2 al año",NA
442,"1/21/2026 12:45:16",NA,"si","ropa -> lavar patio. enjuaga -> trapear adentro y baño","es mas tiempo del le gustaria","si","si. regala botes a amiga. lavar o bañarse a familiares","si, familiares ayudan a conseguir y pedir agua",NA
443,"1/21/2026 12:46:54",NA,"si","lavar ropa -> lavar patio de perrito","poco, le parece bien","a bit","si. vecinos, 2 al año. pasan cubeta si necesitan bañarse","si. vecinos le pasan cubeta. no familiares",NA
444,"1/21/2026 12:49:13",NA,"si","lavar -> patio y baño. se approvecha jabon y por ahorrar recursos","es mas tiempo del le gustaria","si","vecinos, le regalaron 4 o 5 botes","no. piden pipa",NA
445,"1/21/2026 12:51:53",NA,"""no. si"" (?)","lava ropa -> lavan piso o baño. para ahorrar jabon","poco, le parece bien","a bit","cubeta- vecinos, casi ya no ","vecinos, cubetas. 1 o 2 veces al año",NA
446,"1/21/2026 12:53:54",NA,"si","lavadora->patio o baño. para que les alcance. recolectan lluvia, y para todo lo usan","poco, le parece bien","a bit","si. a los vecinos para bañarse","vecinos, le pasan cubetas. 1 al año",NA
447,"1/21/2026 12:56:51",NA,"si","ropa-> lavar piso, calle, baño. lluvia no. tratan no desperdiciar. ahorran agua para que alcance","poco, le parece bien","a bit","no, aveces piden pero si les falta no comparten","cuando falto mucho (hace 10 años). lavan ropa con amiga de mama","19: dice que ya es costumbre, y al principio fue terrible"
448,"1/21/2026 12:59:12",NA,"si","ropa -> baño. para cuidarla","poco, le parece bien","a bit","si, hermana-> lava ropa, se baña","no. no les falta mucho",NA
449,"1/21/2026 13:01:28",NA,"si","lavadora-> baño. es costumbre. para no desperdiciar el agua","es mas tiempo del le gustaria","si","en el pasado, ayudo a vecina","no",NA
450,"3/25/2025 10:23:13 | 1/21/2026 12:21:56",NA,"si","trastes->lavan el patio. lo hacen por que siente que no alcanzaria el agua si no lo hacen","es mas tiempo del le gustaria","si","Si, sus vecinos han entrado a banarse.","Si, sus vecinos la dejaron lavar ropa en su casa.",NA
451,"3/25/2025 10:36:30 | 1/21/2026 12:23:37",NA,"si","lavadora->reusa misma agua para 2 ciclos y luego para trapear. lo hacen por que si no, no alcanzaria","poco, le parece bien","a bit","Si. Suegra en casa de ella le falta agua dejan vecinos llenar botes. Lavar ropa y lavar primo de esposo solo 1 vez (es de valle de san lorenzo)","No, no he faltado.",NA
452,"3/25/2025 10:38:22 | 1/21/2026 12:25:00",NA,"si","agua de la ropa-> lavan el patio. lo hacen para no desperdiciar el agua y hacer mas cosas con ella","es mas tiempo del le gustaria","si","A los vecinos no. Luego van a lavar ropa a su casa.","No",NA
453,"3/25/2025 10:40:50 | 1/21/2026 12:26:52",NA,"si","cuando llueve-> patio y baño. trastes-> se puede usar 2 veces el jabon. ropa->lavar patio","poco, le parece bien","a bit","Si. Vecinos han ido x agua 2 o 3 a familiares.","No. No les ha faltado.",NA
454,"3/25/2025 10:46:35 | 1/21/2026 12:28:22",NA,"si","lavar ropa-> lavar el patio. para no desperdiciarla","poco, le parece bien","a bit","Regalando agua a sus vecinos a traves de cubetas.","No",NA
455,"3/25/2025 10:53:15 | 1/21/2026 12:29:32",NA,"si","lavadora-> baño o patio. para aprovechar el jabon","es mas tiempo del le gustaria","si","Si. Cuando recibieron pipas y llenaban tinacos a gente galon x agua. Familiares lavar ropa excepto.","No ",NA
456,"3/25/2025 10:55:20 | 1/21/2026 12:31:40",NA,"si","cuando se bañan reciclan de la tina para el baño. cuando lavan, usan el agua para trapear. lo hacen por el cuidado del agua","es mas tiempo del le gustaria","si","No","No","19: dice que deja de hacer cosas por estar al pendiente de la llegada del agua"
457,"3/25/2025 11:00:51 | 1/21/2026 12:34:43",NA,"si","cosecha agua de la lluvia por que requiste no tener cistema","es mas tiempo del le gustaria","si","Vecino llevar cubetas 1 al ano.","No",NA
458,"3/25/2025 11:01:22 | 1/21/2026 12:35:56",NA,"si","el agua cuando lava es para los baños y banqueta. para que huela bien","es mas tiempo del le gustaria","si","No ","No ",NA
459,"3/25/2025 11:21:41 | 1/21/2026 12:37:37",NA,"no","lava en la lavanderia por espacio y comodidad","poco, le parece bien","a bit ","Hermana 2 veces en total se banaron y llevo 2 botes de agua.","Papa banarte o le dan agua 2 al ano.","14: dice que cuando falta agua, gente se enoja xq no se puede bañar"
460,"3/26/2025 8:23:34 | 1/21/2026 12:06:12",NA,"si","lavar ropa->patios. lo hacen para no gastar tanta agua","es mas tiempo del le gustaria","si"," No, a companera trabajo o vecinos paso cubetas a senora fue a lavar.","No ","19: dice que no deberia ser asi. deberia ser unos 10 minutos. se le complica por trabajo"
461,"3/26/2025 8:24:07 | 1/21/2026 12:07:03",NA,"no",NA,"poco, le parece bien","a bit","no ","no ",NA
462,"3/26/2025 8:31:55 | 1/21/2026 12:08:12",NA,"no",NA,"poco, le parece bien","a bit","No ","Solo al pedir pipa c/vecinos y solo 3.",NA
463,"3/26/2025 8:32:52 | 1/21/2026 12:09:48",NA,"si","lavadora->patio o baño","poco, le parece bien","a bit","no ","no ",NA
464,"3/26/2025 8:40:50 | 1/21/2026 12:11:33",NA,"si","lavadora-> patio. cuando llueve muy fuerte juntan agua en cubeta para el baño. lo hacen para ahorrar por las personan que no tienen","poco, le parece bien","a bit","no ","no ",NA
465,"3/26/2025 8:45:05 | 1/21/2026 12:13:39",NA,"si","trastes y lavadora -> se usa para el baño o lavar el piso o patio. ","es mas tiempo del le gustaria","si","no ","no ",NA
466,"3/26/2025 8:47:16 | 1/21/2026 12:15:20",NA,"si","bañarse-> baño. llueve->cubeta->plantas, barrer, baño. Solo cuando les falta","poco, les parece bien","a bit","Si. Vecino del frente no le caia tambo 1 vez en la vida. Lavaron ropa en casa.","No ",NA
467,"3/26/2025 8:48:55 | 1/21/2026 12:16:31",NA,"si","lavadora->patio o baño","poco, le parece bien","a bit","Si. Les pasa botes de agua.","Si. Tambien pasandole cubetas.",NA
468,"3/26/2025 8:53:05 | 1/21/2026 12:18:18",NA,"no","siempre: ropa-> piso. ahorran jabon y agua","poco, le parece bien","a bit","Si. Vecinos no le cae, a ella si xq toma esta mas bajita. 1 vez al ano (siempre) pasan un bote. Semana santa.","Si, vecinos, 2 o 3 botes solo abuelita en abril.","19: dice que a si hija le gusta hacer las tareas"
469,"3/26/2025 8:55:30 | 1/21/2026 12:19:31",NA,"si","cuando lava, el agua de jabon se usa para limpiar la banqueta o echarle agua al baño","poco, le parece bien","a bit","Si, le lleva cubetas o asi. ","no ",NA
470,"3/26/2025 8:57:02 | 1/21/2026 11:51:24",NA,"si","lluvia-> plantas, baño. ropa-> patio y escaleras. lo hacen por que les dura la pileta un poco mas","poco, le parece bien","a bit","No ","No ",NA
471,"3/26/2025 9:05:34 | 1/21/2026 11:53:21",NA,"si","lavar->baño, lavar banqueta, etc. lo hace para que su hija no se ""arrastre"" para que no ensucie tanto su ropa.",NA,"???????","Si, a vecinos a veces les ha dado agua.","Si. Vecinos que tienen cisterna.","no respuesta para la 19"
472,"3/26/2025 9:16:40 | 1/21/2026 11:54:47",NA,"si","lavadora->patio o baño. para no desperdiciar","poco, le parece bien","a bit","Su familia si ha ayudado gente. Ella no.","No ",NA
473,"3/26/2025 9:24:18 | 1/21/2026 11:55:55",NA,"si","lavar ropa-> lavar banquetas","poco, le parece bien","a bit","No ","Si, que laven sus cobijas.",NA
474,"3/26/2025 9:26:00 | 1/21/2026 11:57:54",NA,"si","lavadora-> regar, piso, calle, patio, escalera. ","poco, le parece bien","a bit","No ","No ",NA
475,"3/26/2025 9:29:58 | 1/21/2026 11:58:49",NA,"si","lavadora-> el baño o trapear","poco, le parece bien","a bit","no ","no ",NA
476,"3/26/2025 9:32:28 | 1/21/2026 11:59:57",NA,"si","lavar ropa->baño o patio. para no desperdiciar","poco, le parece bien","a bit","no ","no ",NA
477,"3/26/2025 9:41:36 | 1/21/2026 12:00:47",NA,"si","lavadora->lavar el baño y patio","poco, le parece bien","a bit","A los vecinos les daba agua en cubetas.","Si. De la misma forma.",NA
478,"3/26/2025 9:45:42 | 1/21/2026 12:02:33",NA,"si","ropa-> baño y patio. bañarse varios al mismo tiempo. si no lo hacen, no alcanza","es mas tiempo del le gustaria","si","Vecinos regalan una cubeta 2 al ano. A veces agua reutilizamos si la comparten.","Vecinos o en la union van a pedir pipa o cubetita.","19: aveces no alcanzan a llenarse"
479,"3/26/2025 9:46:51 | 1/21/2026 12:04:32",NA,"si","lavadora->baño. trastes->baño. lluvia->solo cuando no tienen. si no lo hacen, no alcanza","es mas tiempo del le gustaria","si","Si. Vecinos de arriba dificil que les sobre. Otra vecina (mas viejita) 2 al ano. Han dejado y lavar ropa. Iban mas en pandemia.","Vecina viejita deja q saquen de cisterna. No conocen a mas vecinos.",NA
480,"3/27/2025 10:27:28 | 1/21/2026 11:33:36",NA,"si","lavadora -> patio o regar arboles. para no desperdiciar","poco, le parece bien","a bit","Si. A vecinos que no tienen cisterna, o solo 1 tinaco, llevan cubetas y ventaja de la altura les cae en la manana. Otro fam hermana va a lavar en casa, le cae cada 15–20 dias (aqui en teotongo).","Delegas o recolec llevan, b cuando van x la pipa (delegac), sabe q la colonia falta mucho.",NA
481,"3/27/2025 10:32:51 | 1/21/2026 11:35:04",NA,"no",NA,"poco, le parece bien","a bit","1 vez. Llegaba tarde y no alcanzaba a apartar agua (vecina).","Madrina 2 ocasiones les dejo lavar y les cubetar. Les dio para pedir.","14: no recicla el agua por que lavadora esta pegada a la pared so no puede sacar el agua"
482,"3/27/2025 10:34:07 | 1/21/2026 11:37:30",NA,"si","lavadora-> patio","poco, le parece bien","a bit","Si, cuando escaseo. Vecinos 4 veces al ano. Hace banos. Fue amiga de abuela.","No",NA
483,"3/27/2025 10:38:52 | 1/21/2026 11:38:56",NA,"si","trapear-> plantas, lavar patio, bote de basura. lavadora->baño. para ahorrar agua","poco, le parece bien","a bit","No ","Si, a lavar en otras casas o banarse. Han sido pocas veces.",NA
484,"3/27/2025 10:45:54 | 1/21/2026 11:39:55",NA,"si","lavadora->patio, baño. para ahorrar agua","poco, le parece bien","a bit","N/A","No. Y cuando falta agua lavanderia.",NA
485,"3/27/2025 10:53:21 | 1/21/2026 11:41:52",NA,"si","lavadora->para lavar escaleras y baños. lo hacen por que si no, no seria suficiente agua.","es mas tiempo del le gustaria","si","La vecina de enfrente no tiene agua desde abril. En las noches van a lavar a su casa y por agua.","La misma vecina le pasaba agua con cubetas.","19: ""por las noches, no descansan"". antes no fallaba agua."
486,"3/31/2025 15:06:42 | 1/21/2026 11:43:47",NA,"si","lavadora -> baño. lluvia-> piso y patio. lavan a mano-> ponen jabon en pileta. Lo hacen para ahorrar agua","poco, le parece bien","a bit","No ","Si, a casa de hermana. Lavar, se banan. 2 al ano.",NA
487,"3/31/2025 15:07:48 | 1/21/2026 11:45:34",NA,"si","lavadora-> lavar el patio. regadora-> en lo que use agua fria. lo hacen por que si no, tal vez no alcanzaria el agua","poco, le parece bien","a bit","No ","No ",NA
488,"3/31/2025 15:10:03 | 1/21/2026 11:47:58",NA,"no","lavadora -> patio. no recoleta lluvia. lo hace para ahorrar dinero y no gastar agua","poco, le parece bien","a bit","Si, una vez sola a vecinos. Hace mucho. Llevaron cubetas a escuela → no tenian agua (kinder).","No ",NA
489,"3/31/2025 15:13:23 | 1/21/2026 11:49:50",NA,"si","no tiran agua limpia. lavadora->para el baño o el patio. lo hacen para cuidar el agua y no desperdiciar. ","poco, le parece bien","a bit","Si, un vecino no tenia agua porque se la cortaron por no pagar. Para coesencial.","No ","14: dicen que otras personas desperdician agua limpia"
490,"3/31/2025 15:26:13 | 1/21/2026 11:14:59",NA,"si","agua de lluvia va al baño o patio. recicla para ahorrar dinero","es mas tiempo del le gustaria","si","Pasar cubeta → hermano: 10 dias al mes. Se lleva H2O en tambo o garrafones. Vecina: 1 o 2 veces al año, pasan cubeta o bote. | ayuda hermano, 10 dias al mez. se lleva agua en un tambo","No  | no",NA
491,"3/31/2025 15:33:45 | 1/21/2026 11:17:45",NA,"si","usar agua de lavar ropa para lavar el patio.","poco, le parece bien","a bit","Si. Le piden cubeta. Vecinos y cunada (va a lavar a casa). 3 al ano.","He han ido donde curade a lavar. 2 al ano. Los ninos – Claudia Bragado.",NA
492,"3/31/2025 15:41:20 | 1/21/2026 11:20:02",NA,"si","ropa -> regar, lavar calle, baño. para ahorrar agua","poco, le parece bien","a bit","Vecinos – llenan sus cubetas // las personas de calle – dejan que se banen. 5 veces al año. Ella cree que su casa esta mas cerca de los pozos.","No ",NA
493,"3/31/2025 15:43:55 | 1/21/2026 11:22:44",NA,"si","lavar ropa -> limpiar piso del patio. para ahorrar agua y enseñar a pequeños a cuidar la","poco, le parece bien","a bit","No ","No ",NA
494,"3/31/2025 15:49:22 | 1/21/2026 11:26:51",NA,"si","lavar-> baño. siempre lo hacen para ahorrar agua","poco, le parece bien","a bit","Si a vecinos y familia para que laven ropa en casa (fam) - 2 a 3 al ano.","Si vecinos y fam. Pasan cubetas. 10 z al ano.","19: cuando no hay agua tienen que usar todo el dia y noche"
495,"3/31/2025 16:20:10 | 1/21/2026 11:28:32",NA,"si","lavar -> patio o baño, si le alcanza. Lo hace por conciencia","poco, le parece bien","a bit","A vecinos o familiares. llevan cubetas, lavar ropa. 3 o 4 al ano.","En calle, a un lado tienen y al otro no. si. 2 veces al ano. otras van a lavanderia y ver familia.",NA
496,"3/31/2025 16:30:30 | 1/21/2026 11:29:59",NA,"si","lavadora-> baño. solo cuando falta el agua","poco, le parece bien","a bit","No. Pasan cubeta de agua para lavar los escalones","Hablan politicos que segun mandaba la pipa. Segun era mas rapido > PAN. Ellas obtuvieron agua de ahi (pipas) // Familia: banarse en casa de mama, lejos. ",NA
497,"3/31/2025 16:36:35 | 1/21/2026 11:32:03",NA,"si","lavadora -> lavar el patio y banqueta. tinaco -> agua de lluvia-> plantas y baño. para que no se pierda el agua. si no lo hacen, no alcanzaria","poco, le parece bien","a bit","Vecinas → cubetas o botes → no tienen cisterna familiares → 2 veces al ano","Vecina → paso una vez en la vida",NA
NA,"1/29/2025 15:22:49",NA,NA,NA,NA,NA,"A otras, vecinos. Pasan un bote.","Vecinos. Pasan un bote. Hijo se bana para ir a la escuela.",NA
