,SampleID,CatA,CatJ,CatL,Match,Consensus
189,192,no,no,no,match,no
194,197,no,no,no,match,no
196,199,no,no,no,match,no
203,302,no,no,no,match,no
204,303,no,no,no,match,no
205,304,no,no,no,match,no
206,305,no,no,no,match,no
207,306,no,no,no,match,no
208,307,no,no,no,match,no
213,312,no,no,no,match,no
214,313,no,no,no,match,no
216,315,no,no,no,match,no
218,317,no,no,no,match,no
219,318,no,no,no,match,no
220,319,no,no,no,match,no
221,320,no,no,no,match,no
222,321,no,no,no,match,no
224,323,no,no,no,match,no
232,331,no,no,no,match,no
235,334,no,no,no,match,no
236,335,no,no,no,match,no
237,336,no,no,no,match,no
239,338,no,no,no,match,no
241,340,no,no,no,match,no
242,341,no,no,no,match,no
247,346,no,no,no,match,no
252,351,no,no,no,match,no
266,365,no,no,no,match,no
5,6,yes,yes,yes,match,yes
6,7,yes,yes,yes,match,yes
15,16,yes,yes,yes,match,yes
16,17,yes,yes,yes,match,yes
19,20,yes,yes,yes,match,yes
22,23,yes,yes,yes,match,yes
23,24,yes,yes,yes,match,yes
25,26,yes,yes,yes,match,yes
29,30,yes,yes,yes,match,yes
31,32,yes,yes,yes,match,yes
36,37,yes,yes,yes,match,yes
38,39,yes,yes,yes,match,yes
39,40,yes,yes,yes,match,yes
42,43,yes,yes,yes,match,yes
45,46,yes,yes,yes,match,yes
51,52,yes,yes,yes,match,yes
52,53,yes,yes,yes,match,yes
54,55,yes,yes,yes,match,yes
61,62,yes,yes,yes,match,yes
64,65,yes,yes,yes,match,yes
65,66,yes,yes,yes,match,yes
66,67,yes,yes,yes,match,yes
68,69,yes,yes,yes,match,yes
69,70,yes,yes,yes,match,yes
82,83,yes,yes,yes,match,yes
83,84,yes,yes,yes,match,yes
85,86,yes,yes,yes,match,yes
86,87,yes,yes,yes,match,yes
87,88,yes,yes,yes,match,yes
94,95,yes,yes,yes,match,yes
101,102,yes,yes,yes,match,yes
105,106,yes,yes,yes,match,yes
107,108,yes,yes,yes,match,yes
115,116,yes,yes,yes,match,yes
116,117,yes,yes,yes,match,yes
119,120,yes,yes,yes,match,yes
123,125,yes,yes,yes,match,yes
126,128,yes,yes,yes,match,yes
131,133,yes,yes,yes,match,yes
136,138,yes,yes,yes,match,yes
140,142,yes,yes,yes,match,yes
142,144,yes,yes,yes,match,yes
150,152,yes,yes,yes,match,yes
152,154,yes,yes,yes,match,yes
160,162,yes,yes,yes,match,yes
163,166,yes,yes,yes,match,yes
170,173,yes,yes,yes,match,yes
179,182,yes,yes,yes,match,yes
182,185,yes,yes,yes,match,yes
183,186,yes,yes,yes,match,yes
188,191,yes,yes,yes,match,yes
190,193,yes,yes,yes,match,yes
191,194,yes,yes,yes,match,yes
192,195,yes,yes,yes,match,yes
193,196,yes,yes,yes,match,yes
195,198,yes,yes,yes,match,yes
197,200,yes,yes,yes,match,yes
198,201,yes,yes,yes,match,yes
201,204,yes,yes,yes,match,yes
202,301,yes,yes,yes,match,yes
209,308,yes,yes,yes,match,yes
211,310,yes,yes,yes,match,yes
212,311,yes,yes,yes,match,yes
215,314,yes,yes,yes,match,yes
217,316,yes,yes,yes,match,yes
231,330,yes,yes,yes,match,yes
234,333,yes,yes,yes,match,yes
238,337,yes,yes,yes,match,yes
243,342,yes,yes,yes,match,yes
244,343,yes,yes,yes,match,yes
245,344,yes,yes,yes,match,yes
246,345,yes,yes,yes,match,yes
248,347,yes,yes,yes,match,yes
249,348,yes,yes,yes,match,yes
250,349,yes,yes,yes,match,yes
251,350,yes,yes,yes,match,yes
254,353,yes,yes,yes,match,yes
259,358,yes,yes,yes,match,yes
264,363,yes,yes,yes,match,yes
265,364,yes,yes,yes,match,yes
267,366,yes,yes,yes,match,yes
269,368,yes,yes,yes,match,yes
272,371,yes,yes,yes,match,yes
275,374,yes,yes,yes,match,yes
279,378,yes,yes,yes,match,yes
282,381,yes,yes,yes,match,yes
