ID,variable,raw_value,current_value,issue,scoring_hint,consensus
355,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
355,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
355,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
355,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
355,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
356,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,47
356,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,18
356,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
356,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
356,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,17
357,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
357,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,18
357,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
357,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,15
357,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,6
358,SES_EDU_SC_CLEAN,NA,NA,Missing / not entered,"0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",43
358,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
358,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
358,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
358,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,15
358,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,6
