ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
81,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,1,0,0,0,"9) Enojo: aviso de corte. Cambia forma de hacer cosas.
Garrafon- estan pendientes--comida hija
Aviso corte- cambiaron rutinas para prepararse",2,1,2,4,3,4,4,1,4,3,2,1,3,1,N/A,
82,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,2,0,2,0,"2) Interrupcion: se descompiesa tuberia-fuera-llegaba poco-normal si no lo lavaron
9) Enojo: por tuberia y por mala calidad
11) Ninguno: dia muy feo",4,3,3,3,4,3,2,3,3,3,3,2,2,3,N/A,
83,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,3,0,,0,"8) garrafones se acaban
9) calidad",2,2,3,3,2,3,4,1,3,2,1,2,4,1,N/A,
84,Oct-Dec,WS,NA,1,1,0,0,0,0,0,2,0,1,0,0,8) se acaba garrafon muy rapido. tuvieron que ir lejos a llenar,3,4,4,2,2,2,2,3,2,2,4,4,2,3,N/A,
85,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,1,0,0,0,,2,4,4,2,2,3,2,2,3,2,3,2,0,2,N/A,
86,Oct-Dec,WS,NA,1,2,0,0,0,0,0,0,1,0,0,0,,3,1,3,3,4,4,2,1,4,2,3,2,3,1,N/A,
87,Oct-Dec,WS,NA,2,3,2,2,1,2,2,1,3,2,2,1,,3,3,4,1,2,1,2,4,4,2,3,2,2,4,N/A,
88,Oct-Dec,WS,NA,1,2,2,2,2,0,2,0,1,0,1,0,,2,1,3,3,4,3,4,3,3,3,4,4,3,3,N/A,"puntaje total somado= 43
puntaje total resta= ?"
89,Oct-Dec,WS,NA,1,0,1,0,0,1,0,2,2,0,1,0,,1,3,4,3,2,2,2,2,3,2,2,3,,0,N/A,
90,Oct-Dec,WS,NA,0,0,0,0,0,1,0,0,0,0,0,1,"total= 2 , sub= 1 ",1,2,2,1,3,3,3,2,3,3,2,3,2,2,N/A,puntaje=-4
91,Oct-Dec,WS,NA,1,2,0,2,0,0,1,0,1,0,0,0,"total= 7, sub= 2",2,2,3,3,4,3,3,2,2,2,3,3,3,2,N/A,puntaje= -3
